channel_id,playlist_id,video_id,published_at,title,description,thumbnail,view_count,like_count,favorite_count,comment_count,video_date,video_time
UC_tda7fOTwXY3g3eigrw3sQ,PLEeIGZuBXtstpI4hORi6_exCErOMyl-9_,f8qFXx_z8cQ,2015-04-14 08:00:00+00:00,山陽線115系糸崎行（三原→糸崎）車窓【山陽本線で最も短い運用】,"山陽本線115系の三原-糸崎間たった1駅の全区間車窓です。山陽本線は糸崎-下関など長い運用の列車が多いのですが、糸崎駅車庫入れを目的としたこの運用はたった1駅で終点の糸崎に到着します。夜間の山陽線の車窓をお楽しみください。
終点糸崎では、三石行に接続しています。今では115系の2ドア車は三原地区では見られなくなりました。
【収録内容】
▼下の時間をクリックするとお好みの場所へ移動します。
三原発(1:34)→糸崎着(5:49)
This is the Sanyo Line train for Itozaki.
撮影：Phos movie / 編集：gakuo1225",https://i.ytimg.com/vi/f8qFXx_z8cQ/default.jpg,703.0,6.0,0,8.0,2015-04-14,08:00:00
UCstqy_7rqe5sge6R7GGYVNw,PL1X1dz4avTd91ssrIRSb0hDn8PimFZinM,RzUEf1AKdPk,2021-05-13 16:00:15+00:00,"Behind The Counter US 2021: Music Millennium Portland, Oregon (Episode 3 of 12)","This week’s episode features Music Millennium based in Portland, Oregon.

“Music Millennium has always been a community centre, if you go back in to the 50s and 60s, it was a place where, especially younger people, would gather. They could find out about new music, but they could also find out about all the cultural things that were going on at the time. Even political things were talked about in record stores.” Terry Currier

Behind The Counter is a 12 part video series that tells the stories behind the wonderful world of independent record stores. 

Presented by Classic Album Sundays and Record Store Day in partnership with Bowers & Wilkins.

A new episode will drop every Thursday in the run up to #RSD21​ which will share the unique stories from around the US. Get to know your local shops! 

#BehindTheCounter​ #ClassicAlbumSundays​ #RSD21​ #RSDDrops​ #BowersWilkins",https://i.ytimg.com/vi/RzUEf1AKdPk/default.jpg,1603.0,71.0,0,6.0,2021-05-13,16:00:15
UCuw0GgMlZlAsWvpI8PgCN8g,PLHSL33o2NTsBHtPka4HUVp4gzXeS9Dhh_,I5qamYpmODA,2021-01-24 14:00:12+00:00,Freedom of Choice: How the Government Controls What You Consume | Lobby | ENDEVR Documentary,"Freedom of Choice: How the Government Controls What You Consume | Lobby Industry | Business Documentary from 2014

Life is about choice. What we eat, what we read, who we elect; every day we make choices that determine how we want to live.
But what if these choices are just an illusion?
In an era where regulations and red tape rule every industry, where lobby groups and big businesses wield more influence than ever before, our daily choices have become increasingly limited. And with all our options so deliberately handpicked, are we really making a choice at all?
Freedom From Choice examines the current state of life and personal choice today. Experts from many different fields offer a frank and startling look at the hidden limitations in our daily lives. Focusing on key areas such as food, medicine, finance, and media, Freedom From Choice provides viewers with a glimpse at the myriad of ways their lives are being dictated and tells us who stands to gain.

THE VIDEO HAS NO AUDIO BETWEEN: 
00:42:38 - 00:44:30
▬▬▬▬▬▬▬▬▬
Subscribe ENDEVR for free: https://bit.ly/3e9YRRG
Join the club and become a Patron: https://www.patreon.com/freedocumentary
Facebook: https://bit.ly/2QfRxbG
Twitter: https://bit.ly/2QlwRiI
▬▬▬▬▬▬▬▬▬
#FreeDocumentary #ENDEVR #FreedomFromChoice
▬▬▬▬▬▬▬▬▬
ENDEVR explains the world we live in through high-class documentaries, special investigations, explainer videos and animations. We cover topics related to business, economics, geopolitics, social issues and everything in between that we think it’s interesting.",https://i.ytimg.com/vi/I5qamYpmODA/default.jpg,698619.0,13261.0,0,1664.0,2021-01-24,14:00:12
UCHqC-yWZ1kri4YzwRSt6RGQ,PLuXXbBFpPc0lb4_FdI1NOPTCAYroXOywl,Jr8li6hpC2s,2017-07-26 19:16:46+00:00,President Trump Donating his Salary this Quarter to Department of Education 7/26/17,"At the White House Press Briefing, Sarah Sanders announced that President Trump is Donating his Salary this Quarter to Department of Education",https://i.ytimg.com/vi/Jr8li6hpC2s/default.jpg,4063.0,239.0,0,26.0,2017-07-26,19:16:46
UCwOzr0x28F-L1u6CHQ7CNUA,PLL6CCZT-qfDqOyRwLzkyQWnudAF0vBook,-yp-dPVFpU4,2022-02-19 10:54:26+00:00,NEW 2022 Mercedes CLA 45 S AMG 1 OF 1 | 300.000$ CARCRAFT Full Review Akrapovic Sound Interior,"Welcome to my Channel, MercBenzKing! Follow/Share/Like
For more https://www.instagram.com/mercbenzking/

Thanks to: https://www.carcraft.ch/
Instagram: https://www.instagram.com/carcraft.ch/

In today’s MercBenzKing's episode, we present to you the all-new CARCRAFT Mercedes CLA 45 S with 4 MATIC +. The all new Mercedes Benz CLA 45 S Edition AMG is a sportive coupe with 421 HP. Bespoke special Carcraft edition where litterly every design has been changed. Hope you enjoy the video!

- Let me know if you have some suggestions for new cars!

Facebook: https://www.facebook.com/Mercbenzking-240611152939783/
Youtube: Betim Lushtaku https://www.youtube.com/mercbenzking1
Twitter:  https://twitter.com/MercBenzKing

Prior to all new technology in the new 2021 S Class. Different types of models: All new S class S400d S400 S500 S65 AMG S560 MAYBACH 

Options
Mercedes vlog. Interior and exterior design, COMAND Online, Drive Pilot, DYNAMIC BODY CONTROL, active and passive safety features including emergency braking and steering assist, Pre-SAFE Impulse and the possibilities of the new Multimode Radar sensors, MULTIBEAM LED and a lot more.

I drive a GLE and GLC with amg package. Premium package. GLE 400d. City of Zurich. Point of view POV driving Mercedes AMG package.

Coming up: 2021 C Class GT73 S63 ,  New Road trips and holiday specials

Current camera: SONY HDR
Mercedes models (Mercedes A, B, C, E, ML, M, GLE, GLC, GLA, CLS, CLA, CLC, GLS, S and so on)

Update: Have a look at the GLS 63 AMG of MercBenzKing. Also check out the E63 E Class video.

Check out the new Mercedes C class 2021
C180 C200 C250 C300 C350e C400 C450 C63 C63S

Options on my Mercedes:
- Command Online Navigation System
- AMG line exterior and interior
- Distronic Plus with Active Lane Keeping Assist and Steering Assist
- Panoramic Sunroof
- Ambient Lighting interior
- Ventilated and heated seats
- LED intelligent light sytem
- AIRMATIC Suspension 
- Park assist PARKTRONIC
- Head up display
- Keyless - Go Comfort
- Burmester Surround Sound System
- Memory seats
- Thermotronic airco
- Airbalance Parfume",https://i.ytimg.com/vi/-yp-dPVFpU4/default.jpg,70628.0,1790.0,0,115.0,2022-02-19,10:54:26
UCBefBxNTPoNCQBU_Lta6Nvg,PLrxcNWZXdQ2kcxA_mGHIDC4oXs1HU8Jgo,l-hifFx71sY,2022-12-21 17:00:09+00:00,NEFFEX - This Is Not A Christmas Song (with Ryan Oakes) 🎄🔥 [Copyright Free] No.185,"Listen to This Is Not A Christmas Song on any platform HERE: https://ffm.to/neffextinacs

GET TICKETS TO MY FALL 2023 WORLD TOUR 🤘🔥: https://www.neffexmusic.com/tour

CREATORS - DOWNLOAD & USE THIS SONG COPYRIGHT-FREE: https://bit.ly/3G4MqFR

Join the NEFFEX Discord Server HERE -  https://discord.gg/neffex

STREAM ALL 150+ of my songs on ANY platform here - https://ffm.bio/neffexmusic

Join NEFFEX Nation to get new music and everything else first 🤘- https://laylo.com/neffex/nation

✦✦✦✦✦ NEFFEX ✦✦✦✦✦
Spotify: https://fanlink.to/neffex_spotify
SoundCloud: https://fanlink.to/neffex_sc
Facebook: https://fanlink.to/neffex_fb
Instagram: https://fanlink.to/neffex_ig
Twitter: https://fanlink.to/neffex_twt
YouTube: https://fanlink.to/neffex_yt
TikTok: https://fanlink.to/neffex_tt

✦✦✦✦✦ Ryan Oakes ✦✦✦✦✦
Spotify: https://bit.ly/RyanOakesSpotify
Apple Music: https://bit.ly/RyanOakesAppleMusic
Tik Tok: https://www.tiktok.com/@ryanoakesmusic
Instagram: https://www.instagram.com/RyanOakesMusic
Twitter: https://twitter.com/imryanoakes
Snapchat: NotRyanOakes
Facebook: https://www.facebook.com/RyanOakesMusic

#NEFFEX #CopyrightFree #NoCopyright

LYRICS:

This is not a Christmas
This is not a Christmas song (2x)

The Christmas tree’s on fire
Santa’s holding the lighter
My parents are both liars
I got gifts but want subscribers
Thanks for the candy basket
Oh god another jacket
My stocking’s filled with acid
Am I dreaming? What just happened?!

This is not a Christmas
This is not a Christmas song (4x)

My neighbors compete to see who can put up more blinding lights
The kids all wish away the month cuz they want presents in sight
This year had
Me so mad
I’ve been bad
Got coal that 
Is sitting under my tree I think that my Christmas has died

This is not a Christmas
This is not a Christmas song (4x)

(Ryan Oakes Verse)
I guess everyday is Christmas when you this gifted 
Accidentally went and manifested my whole wishlist 
And now to celebrate I’m getting twisted like the grinch is
Making it rain, dear (reindeer) lord, look how dripped the wrist is
Hey wait, I noticed you out there in cold 
They say, that she bad she gettin nothing but coal 
Three strikes, I’m out I should’ve probably bowled 
I guess it’s just another holiday I’m spending alone 

When I was just a boy
Christmas brought so much joy
Couldn’t wait for the presents and laughter
I couldn’t sleep late at night
Lookin for Santa with lights
Those are memories I still remember 
Then I became a man
Lost sight of who I am 
But right in front of me was the answer
Cuz on Christmas I feel joy
And I turn back to a boy
The answer is to stay young forever 

This is not a Christmas
This is not a Christmas song (4x)

I make workout music, gym music, gaming music, vlogging music (vlog music), inspirational music, inspirational songs, motivational music, motivational songs, party music, party songs, Fortnite songs, Roblox music, Apex music, PUBG music, Valorant music, Call of Duty (COD) music, and non copyrighted music for YouTube content creators

*This song was written, produced, engineered, and recorded by NEFFEX",https://i.ytimg.com/vi/l-hifFx71sY/default.jpg,394060.0,19303.0,0,1143.0,2022-12-21,17:00:09
UC7mFkx1Um4KJZKkUHsSV1uA,PL7pGJQV-jlzD17YNNbt103xp0PkkUCoPU,FH_AVmxkAk8,2015-09-18 14:49:17+00:00,The Storyteller: FALLOUT S3 E17 - Killed My Pa,"Something to do while we wait for Fallout 4 (episodes every Friday)
Unlock more @ http://www.patreon.com/ShoddyCast
Facebook | http://Facebook.com/ShoddyCast
Twitter | http://twitter.com/ShoddyCast
Playlist | https://www.youtube.com/playlist?list=PL7pGJQV-jlzD17YNNbt103xp0PkkUCoPU

The Fallout universe shows us a post-apocalyptic America where the ""end of the world"" is just another bloody chapter of human history. Join our mysterious Storyteller as he takes us on a journey of outlandish discovery and brutal survival.

Join our network | http://www.unionforgamers.com/apply?referral=3kbo5lmvtmnbqa

Meet the team | http://www.shoddycast.com/about-us/staff/

~ This episode used these outstanding mods ~

XRE - CARS
http://www.nexusmods.com/newvegas/mods/49042/
 
Wasteland Clothing Hires Retexture
http://www.nexusmods.com/newvegas/mods/54478/?

Dry Canyon:
http://www.nexusmods.com/newvegas/mods/50493/?

Improved Heavy Weapons Textures:
www.nexusmods.com/newvegas/mods/56314/?
 
Interior Lighting Overhaul:
http://www.nexusmods.com/newvegas/mods/35794/?

MGs Neat Clutter Retextures:
http://www.nexusmods.com/newvegas/mods/42551/?

Enclave Commander NV Edition:
http://www.nexusmods.com/newvegas/mods/44657/?
 
Rivens Chunky Duncan Race:
www.nexusmods.com/newvegas/mods/41510/?
 
Rivens Chunky Duncan Outfits:
www.nexusmods.com/newvegas/mods/41518/?

Classic Combat Shotgun:
www.nexusmods.com/newvegas/mods/55704/?
 
IHWT - Improved Heavy Weapons Textures:
www.nexusmods.com/newvegas/mods/56314/?
 
NCR Trooper Overhaul:
http://www.nexusmods.com/newvegas/mods/52721/?
 
Fallout - Project Brazil:
http://www.nexusmods.com/newvegas/mods/45138/?
 
DYNAVISION 3 - Total Visual Enhancement
http://www.nexusmods.com/newvegas/mods/51577/?
 
T45d Power Armor Replacement:
http://www.nexusmods.com/newvegas/mods/47488/?

Tale of Two Wastelands:
http://taleoftwowastelands.com/
 
Nevada Skies - Weather Effects:
http://www.nexusmods.com/newvegas/mods/35998/?
 
Classic Wattz 2000 Laser Rifle:
http://www.nexusmods.com/newvegas/mods/36492/?

Fallout Character Overhaul:
http://www.nexusmods.com/newvegas/mods/54460/?

NMCs Texture Pack:
http://www.nexusmods.com/newvegas/mods/43135/?

Vault 13 Jumpsuit:
http://www.nexusmods.com/newvegas/mods/40004/?

Sandcrete Architecture - a resource for modders:
www.nexusmods.com/newvegas/mods/48139/?

CR-HD Combat Ranger Armor Retexture:
www.nexusmods.com/newvegas/mods/40691/?

Ranger Sequoia retexture:
www.nexusmods.com/newvegas/mods/41749/?",https://i.ytimg.com/vi/FH_AVmxkAk8/default.jpg,720471.0,13858.0,0,704.0,2015-09-18,14:49:17
UC8ny82AwOJl_HpDkLpSGuow,PLL6CCZT-qfDrLF1-VH0YpUy41EEZB9UPx,up54rlmwVBs,2022-02-21 11:00:35+00:00,10 New Adventure & Touring Motorcycles For 2022,"For business inquiries: motortvbussines@gmail.com 10 New Adventure & Touring Motorcycles For 2022
New and updated Adventure Touring Motorcycles. all this Bikes are 2022 Model Enjoy. Were shown from Eicma and Motor Bike Expo 2022


00:00 2022 Honda CB500X ABS MSRP Price €7,240 EURO
Engine Type Liquid-cooled, parallel twin 8 valves. 
Displacement 471cc. 
Bore x Stroke 67mm x 66.8mm. 
Compression Ratio 10.7: 1. 
Power 48 hp 35kW @ 8,600rpm. 
Torque 43Nm 6,500rpm. 
Gearbox 6-speed. 
Weight 199kg. 
Tank capacity 17,5 L

1:13 2022 BMW F750GS MSRP Price $11,255 USD
Engine Type Water-cooled 4-stroke in-line two-cylinder engine, four valves per cylinder. 
Displacement 853 cc. 
Bore x stroke 84 mm x 77 mm. 
Compression Ratio 12.7 : 1. 
Power 77 hp at 7,500 rpm. 
Torque 61 lb-ft at 6,000 rpm. 
Gearbox 6-speed. 
Weight 227kg. 
Tank capacity 15 L

2:12 2022 Kawasaki Versys 650 MSRP Price $8,899 USD
Engine Type Liquid-cooled, 4-stroke Parallel Twin, DOHC, 8 valves. Displacement 649 cc. 
Compression Ratio 10.8:1. 
Power 67 hp 49 kW. 
Torque 61 Nm {6.2 kgf•m}. 
Gearbox 6-speed. 
Weight 219kg. 
Tank capacity 21 L

3:29 2022 Yamaha Tenere 700
Engine Type EURO 5, 4-stroke, 2-Cylinder, Liquid-cooled, DOHC. Displacement 689 cc. 
Bore x Stroke 80,0 x 68,6 mm. 
Compression ratio 11,5 : 1. 
Power 54 kW @ 9,000 rpm. 
Torque 68 Nm @ 6,500 rpm. 
Gearbox 6 speed. 
Weight 204 kg. 
Tank capacity 16 L

4:34 2020 Royal Enfield Himalayan MSRP Price €5,200 EURO
Engine Type Single Cylinder 4 stroke, SOHC Air Cooled. 
Displacement 411 cc. 
Bore x Stroke 75 mm x 55 mm. 
Compression ratio 95 l. 
Power 24.3 bhp (17.88kW) @ 6,500 rpm. 
Torque 23.6 ft/lbs @ 4000-4500 rpm. 
Gearbox 5 speed. 
Weight 43 lbs. 
Tank capacity 4 gal

5:08 2022 Benelli TRK 502
Engine Type In line 2 cylinders, 4-stroke, liquid cooled , 4 valves for cylinder double overhead camshaft. 
Displacement 499.6cc.
Bore x Stroke 69 x 66.8mm. 
Compression Ratio 11.5:1. 
Power 35 kW (47,6 HP) @ 8500 rpm. 
Torque 45 Nm (4,6 kgm) @ 5000 rpm. 
Gearbox 6-speed.
Weight 235kg. 
Tank capacity 20 L

6:27 2022 Zontes 350 T2
Displacement 347.7cc. 
Power 29 kW at 9500 rpm. 
Torque 32.8 Nm at 7500 rpm. 

7:36 2022 CF Moto 800 MT Touring MSRP Price $14,490 USD
Engine Type Liquid-cooled, 4-stroke DOHC parallel twin. 
Displacement 799cc. 
Bore x stroke 88mm x 65.7mm. 
Compression ratio 12.7 : 1. 
Power 95 hp (70 kW) @ 9,000rpm. 
Torque 77 Nm @ 7,500rpm. 
Gearbox 6-speed. 
Weight 225kg. 
Tank Capacity 19 L

8:50 2022 QJ MOTOR SRT 550
Engine Type 2-Cylinder inline, 8 V DOHC, liquid cooled. 
Displacement 549 cc. 
Power 37.5 kW at 7500 rpm. 
Torque 51 Nm at 5500 rpm.
Gearbox 6-speed. 
Weight 225 Kg. 

10:13 2022 KL Raticosa 500
Engine Type Twin cylinder, 4 stroke, DOHC, 8 valves, liquid cooled. Displacement 471 cc. 
Power 35 kW at 8500 rpm. 
Torque 43,0 Nm at 7500 rpm. 
Gearbox 6-speed. 
Weight 178 Kg. 
Tank Capacity 20 L",https://i.ytimg.com/vi/up54rlmwVBs/default.jpg,60571.0,556.0,0,14.0,2022-02-21,11:00:35
UCFQdwnVf66D3Abx6DxXN8UA,FLsZG8vk_TB-vXK27hSpZnsQ,eQ4O9gyEJ98,2012-07-08 12:18:10+00:00,Djani - Boli me sto me ne volis - (Audio 2000),"️️👉 Uključi 🔔 da dobijaš obaveštenja za sve nove pesme! 
Facebook: https://www.facebook.com/GrandProduction

Djani - Boli me sto me ne volis - (Audio 2000)
Zvanični Portal Grand Production-a: http://grand.online/
🎵Muzika: Steva Simeunović
🎵Tekst: Steva Simeunović
🎵Aranžman: Slavko Stefanović Slavkoni

Zvanični Portal Grand Production-a: http://grand.online/
Facebook: https://www.facebook.com/GrandProduction
Label & Copyright: Grand Production
Zabranjeno svako kopiranje video i/ili audio snimaka i
postavljanje na druge kanale!

https://youtu.be/eQ4O9gyEJ98
https://www.youtube.com/@GrandProductionOfficial

#Djani 
#BoliMeStoMeNeVolis 
#GrandProduction",https://i.ytimg.com/vi/eQ4O9gyEJ98/default.jpg,6424782.0,24068.0,0,525.0,2012-07-08,12:18:10
UCnM_Dh_3p-m3M-1tF0E9Cjw,PLL6CCZT-qfDoIbgi4qZqNcrQkFG7wDWWx,Fqym-AW8S5E,2022-05-30 12:29:25+00:00,"MEHABOOBA (From KGF Chapter 2) - RockingStar Yash, Prashanth Neel, Ravi Basrur, Ananya Bhat [Cover]","♡ Like & Subscribe to my channel ➡️ http://bit.ly/1Ro50Gn
❤️ Don’t forget to follow me on instagram! http://www.instagram.com/emmaheesters 🥰🎶💕

SAY HI TO ME ON:
Instagram: http://bit.ly/28VBtKQ
Facebook: http://bit.ly/1Ps3bgA
Spotify: http://bit.ly/1QrVOnQ

⚡️ Find my other covers here: https://bit.ly/2DVvt20 ⚡️

📹 Filmed by Mike Attinger: http://www.mikeattinger.nl

Lyrics: 

As long as there is a land and sky
My wish is that you’ll only be mine
Baby listen carefully
I’ll hold you close till I die

I will embrace you oh so deeply
Like the clouds always do with the sun
We belong together, you belong to me
Like the moon and the stars you see

Mehabooba 
Main Teri Mehhebooba
Mehabooba 
Main Teri Mehhebooba
Mehabooba
Oh Main Teri Mehhebooba

New beginnings they start now it’s a journey
A new life is awaiting us 
There where sunsets turn into.. lovely moonlit nights
Let’s go to a world that is so far away from this place
someWhere the sun shines on the sand
And where we can sleep.. deep at night
And somewhere we can lose track of the time

Main Gudiya Ba nJaungi
Mere Saath Tu Khelte Rehna
Kabhi Baahon Mein Jhula Jhulana
Kabhi Dil Se Laga Lena

Mehabooba 
Main Teri Mehhebooba
Mehabooba 
Main Teri Mehhebooba
Mehabooba
Oh Main Teri Mehhebooba

Mmmmm 

💕

 ♡ DONATE TO CHARITY BELOW ♡

-----Make A Wish-----
https://www.worldwish.org/en/donate

-----Free A Girl----
https://www.freeagirl.com/donate/

-----Cancer Research Institute-----
https://www.cancerresearch.org/join-the-cause/donate/one-time-donation",https://i.ytimg.com/vi/Fqym-AW8S5E/default.jpg,7105357.0,412004.0,0,11287.0,2022-05-30,12:29:25
